Art.-Nummer;Lokbezeichnung (sprechender Name, z.B. Glaskasten, plus m÷glichst vollst„ndige Betriebsnummer): 28-33 Zeichen auf CS2 sichtbar,(auf MS2 Auswahl m.NameDisplay);"Name Display MS+CS(MS2: 11-14,CS2:15 Buchst;auch klein+Umlaut)";Loktyp (Elok (E), Diesel (D), Dampf (S), kein (N));"NICHT PRGM:D=Delta (0 Fkt), M=Digital C90(<=1+4Fkt),M8=2 MotorolaDec;PRGM-BAR: LP=Zieco šberg.Dec oh.Snd, L3=šberg.Dec m.Snd, X3=Sp1-šberg.Dec m.Snd";Motorola Adresse;Symbol F0;Sym bol F1;Sym bol F2;Sym bol F3;Sym bol F4;Sym bol F5;Sym bol F6;Sym bol F7;Sym bol F8
3742;BR 212.005-3;BR 212 005-3;E;M;20;L;/;/;/;/;/;/;/;/
3743;BR 243.897-6;BR 243 897-6;E;M;43;L;/;/;/;/;/;/;/;/
37430;BR 143.007-3;BR 143 007-3;E;M;43;L;/;/;/;/;/;/;/;/
37431;BR 151.030-4;BR 151 030-4;E;M;51;L;/;/;/;/;/;/;/;/
37432;BR 151 024-7 Doppelpackung;BR 151 024-7;E;M;51;L;/;B;D;K;/;/;/;/
37432b;BR 151 070-0 Doppelpackung;BR 151 070-0;E;M;51;L;/;B;D;K;/;/;/;/
37440;E 44.098;E 44 098;E;M;44;L;/;2;C;1;/;/;/;/
37450;BR 45.020;BR 45 020;S;M;45;L;R;E;C;K;/;/;/;/
3747;Bay. EG 2, 20222;BAY. EG 2;E;M;70;L;/;/;/;/;/;/;/;/
37475;E 69.02;E 69 02;E;M;24;L;/;/;/;/;/;/;/;/
37476;E 69.02;E 69 02;E;M;24;L;/;/;/;K;/;/;/;/
37477;E 69 rot DB;E 69 03;E;M;24;L;/;/;/;K;/;/;/;/
3748;E 70.21 DB;E 70 21;E;M;70;L;/;/;/;/;/;/;/;/
37481;Reihe EG 2 x 2/2 K.Bay.Sts.B., 20221;EG 2 X 2/2;E;M;22;L;/;/;/;K;/;/;/;/
3750;BR 401,ICE-Triebkopf-Set 'Elisabeth';ELISABETH;E;M;69;L;/;/;/;/;/;/;/;/
37500;FP 7 Lok Northlander;NORTHLANDER;D;M;19;L;1;G;D;K;/;/;/;/
3751;Serie 460 (Re 4/4) SBB;RE 460;E;M;47;L;/;/;/;/;/;/;/;/
37510;Ae 3/6 SBB, Ep.II;AE 3/6 10426;E;LP;36;L;/;/;/;K;/;/;/;/
37512;Ae 3/6 II SBB Ep.II braun, Doppelpack.Elok;AE 3/6 II 10421;E;LP;24;L;/;/;/;K;/;/;/;/
37512b;Ae 3/6 II SBB Ep.III grn, Doppelpack.Elok;AE 3/6 II 10456;E;LP;72;L;/;/;/;K;/;/;/;/
3752;Serie 460 (Re 4/4) SBB;RE 460;E;M;48;L;/;/;/;/;/;/;/;/
37521;De 6/6 15303 SBB Seetal-Krokodil;DE 6/6 15303;E;M;66;L;2;/;/;K;/;/;/;/
37522;De 6/6 15302 SBB Seetal-Krokodil;DE 6/6 15302;E;LP;66;L;2;/;/;K;/;/;/;/
37524;De 6/6 Seetal-Krokodil ELok;De 6/6;E;LP;66;L;1;/;/;K;/;/;/;/
37525;EP 5 E-Lok, DB, Ep.II+III Doppelpackung;BR EP 5 21510;E;LP;52;L;/;/;/;K;/;/;/;/
37525b;E 52 E-Lok, DB, Ep.II+III Doppelpackung;BR E 52 06 DB;E;LP;52;L;/;/;/;K;/;/;/;/
37531;BR 120;BR 120 XMAS;E;M;20;L;/;/;/;/;/;/;/;/
37532;BR 120.139-1;BR 120 139-1;E;M;20;L;/;/;/;/;/;/;/;/
37533;BR 120.141-7;BR 120 141-7;E;M;20;L;/;/;/;/;/;/;/;/
37534;BR 120.151-6;BR 120 151-6;E;M;20;L;/;/;/;/;/;/;/;/
37535;BR 120.119-3;BR 120 119-3;E;M;20;L;/;/;/;/;/;/;/;/
37536;BR 120.114-4;BR 120 114-4;E;M;20;L;/;/;/;K;/;/;/;/
37537;BR 120.004-7;BR 120 004-7;E;LP;12;L;/;1;C;K;/;/;/;/
37538;E 120 002-1;E 120 002-1;E;LP;12;L;/;1;C;K;/;/;/;/
3754;BR 120 AEG;BR 120 AEG;E;M;20;L;/;/;/;/;/;/;/;/
37540;BR 55;BR 55;S;L3;55;L;R;E;D;K;C;G;B;B
37550;BR 55.5555;BR 55 5555;S;M;55;L;/;/;/;/;/;/;/;/
37551;Pr. G 8.1 KPEV;PR. G 8.1;S;M;55;L;R;/;/;K;/;/;/;/
37552;Serie 040 D der SNCF;S. 040 D;S;M;55;L;R;/;/;K;/;/;/;/
37553;Serie 81 Belg. Staatsbahnen;S. 81;S;M;55;L;R;/;/;K;/;/;/;/
37554;BR 055.635-7;BR 055 635-7;S;M;55;L;R;/;/;K;/;/;/;/
37557;Reihe GR 460 italien. FS;GR. 460;S;M;55;L;R;/;/;K;/;/;/;/
37558;BR 55.5657 BB™/™BB;BR 55 5657;S;M;55;L;R;/;/;K;/;/;/;/
37559;Reihe 460 FS;GR. 460;S;M;55;L;/;/;/;K;/;/;/;/
3756;Be Ce 6/8''' SBB, Krokodil;CE 6/8 14305;E;M;68;L;/;/;/;/;/;/;/;/
37561;E 60.09;E 60 09;E;M;60;L;/;/;/;K;/;/;/;/
37562;E 60.10;E 60 10;E;M;60;L;/;/;/;K;/;/;/;/
37569;Be Ce 6/8''' SBB, Krokodil, gealtert;CE 6/8 14305;E;M;68;L;/;/;/;/;/;/;/;/
37572;BR 103.165-7;BR 103 165-7;E;M;3;L;/;/;/;/;/;/;/;/
37591;Ae 8/14 SBB;AE 8/14 11801;E;M;14;L;/;/;/;/;/;/;/;/
37593;Ae 8/14 SBB;AE 8/14 11801;E;M;14;L;/;/;/;/;/;/;/;/
3760;Serie 460 SBB;RE 460;E;M;46;L;/;/;/;/;/;/;/;/
37605;VT 11.5 (TEE);VT 11.5 TEE;D;M;11;L;E;1;D;K;/;/;/;/
37610;ALCO UP Reihe 600 Union Pacific Railroad;ALCO UP;D;M;60;L;E;G;d;K;/;/;/;/
37611;ALCO PA 'Santa Fe' AT & SF,Ep.III;ALCO ATSF;D;M;60;L;E;G;d;K;/;/;/;/
37621;EMD F7 (Amtrak) General Motors;F7 AMTRAK;D;M;7;L;/;/;/;/;/;/;/;/
37622;EMD F7 (AT & SF) General Motors;F7 ATSF;D;M;7;L;E;G;D;K+B;/;/;/;/
37623;EMD F7 (Milwaukee R.) General Motors;F7 MILW;D;M;7;L;E;G;D;K+B;/;/;/;/
3763;Serie 465 (Re 4/4) BLS;RE 465;E;M;46;L;/;/;/;/;/;/;/;/
37632;Serie 16 Belg. Staatsbahnen;S. 16;E;M;16;L;/;C;D;K;/;/;/;/
37637;Re 460;RE 460;E;M;37;L;/;/;/;/;/;/;/;/
37640;MaK E + H Lok;MAK E + H;D;M;64;L;/;/;/;K;/;/;/;/
37641;Reihe 6400 niederl. NS Cargo, 6513;S. 6400;D;M;64;L;/;/;/;/;/;/;/;/
37642;Am 842 000 SBB;AM 842 000;D;LP;64;L;/;/;/;/;/;/;/;/
37645;Lok Nr. 14 Tegernsee-Bahn;TEGERNSEE;D;M;64;L;/;/;/;/;/;/;/;/
37646;Lok Nr. 32 Dortmunder Eisenbahnen;DO NR. 32;D;M;64;L;/;/;/;/;/;/;/;/
37647;Reihe 2070.005-0 ™BB;2070 005-0;D;LP;70;L;/;/;/;K;/;/;/;/
37648;V 60 BR 360 WERK 3;V 60 WERK 3;D;M;60;L;/;H;/;K;/;/;/;/
37649;BR 360.159-8;BR 360 159-8;D;M;60;L;/;H;/;K;/;/;/;/
37650;V 60.706;V 60 706;D;M;60;L;/;H;/;K;/;/;/;/
37652;BR 362.888-0;BR 362 888-0;D;M;60;L;/;H;F;K;/;/;/;/
37653;Serie 260 (ex V60);S. 260;D;M;60;L;/;H;F;K;/;/;/;/
37654;BR 261;BR 261;D;M;60;L;/;H;F;K;/;/;/;/
37657;Serie BB 461 000 SNCF/FRET, 461004;BB 461004;D;M;61;L;/;/;/;K;/;/;/;/
37658;MaK 1206 Carin Bauzuglok Fa.Strukton NL;MAK NL;D;LP;64;L;/;/;/;K;/;/;/;/
37661;E 52.30;E 52 30;E;M;52;L;/;/;D;K;/;/;/;/
37665;Demonstrator (NOHAB + GM Prototyp);NOHAB GM;D;M;11;L;/;D;/;K;/;/;/;/
37668;Reihe NOHAB TMY Schwed.Privatbahn TAGAB;NOHAB TMY;D;M;11;L;/;D;/;K;/;/;/;/
37669;Serie 1600 CFL, Ep.III 'Nohab';S. 1600;D;M;11;L;/;D;/;K;/;/;/;/
3767;BR 118.034-8 grn;BR 118 034-8;E;M;18;L;/;/;/;/;/;/;/;/
37672;Serie 205 Belg.Staatsbahnen;S. 205;D;M;55;L;2;/;/;K;/;/;/;/
37673;Serie 55 Belg.Staatsbahnen, 5540;S. 55;D;M;55;L;2;/;/;K;/;/;/;/
3768;BR 118.024-9 blau;BR 118 024-9;E;M;18;L;/;/;/;/;/;/;/;/
37681;E 18.15;E 18 15;E;M;18;L;/;/;/;K;/;/;/;/
3769;E 19.12 DRG;E 19 12;E;M;19;L;/;/;/;/;/;/;/;/
37691;E 19.12;E 19 12;E;M;19;L;/;/;/;/;/;/;/;/
3770;BR 401 ICE;ICE 401;E;M;70;L;/;/;/;/;/;/;/;/
37701;BR 401 ICE;ICE 401;E;M;70;L;/;/;/;/;/;/;/;/
37712;BR 402 ICE;ICE 402;E;M;2;L;/;/;/;/;/;/;/;/
37724;V 100.2027;V 100 2027;D;M;20;L;/;/;/;K;/;/;/;/
37725;BR 212.276-0;BR 212 276-0;D;M;20;L;/;/;/;K;/;/;/;/
37743;BB Bauzug-Triebfahrz.Fa.TSO Travaux du Sud-Ouest;BB TSO;D;M;16;L;/;C;C;K;/;/;/;/
37744;BR 216.139-6;BR 216 139-6;D;M;16;L;/;D;D;K;/;/;/;/
37749;BR 218 (216) LUDWIG;LUDWIG;D;M;16;L;/;D;D;K;/;/;/;/
37750;E 75.05;E 75 05;E;M;75;L;/;/;D;K;/;/;/;/
3776;BR 610;BR 610;D;M;61;L;/;/;/;/;/;/;/;/
37761;BR 610;BR 610;D;M;61;L;1;/;/;K;/;/;/;/
37762;BR 628.2;BR 628 2;D;M;28;L;1;/;/;K;/;/;/;/
37770;SVT 137;SVT 137;D;LP;37;L;1;/;D;K;/;/;/;/
37771;SVT 137 Deko METALL;SVT METALL;D;LP;37;L;1;/;D;K;/;/;/;/
37773;SVT 137;SVT 137;D;LP;37;L;1;/;D;K;/;/;/;/
37780;BR 406 ICE 3;ICE 406;E;M;3;L;1;A;F;K;/;/;/;/
37781;BR 406 ICE 3;ICE 406;E;M;3;L;/;A;/;K;/;/;/;/
37782;Hochgeschw.Zug 'Velaro' der AVE;VELARO;E;M;3;L;/;A;/;K;/;/;/;/
37783;BR 403 ICE 3;ICE 403;E;M;3;L;B;A;D;K;/;/;/;/
3780;BR 220.007-9 (V200.0);BR 220 007-9;D;M;22;L;/;/;/;/;/;/;/;/
37803;V 200.018;V 200 018;D;M;22;L;E;2;D;1;/;/;/;/
3781;EMD F7 TEXAS;F7 TEXAS;D;M;7;L;/;/;/;/;/;/;/;/
3782;BR 221.127-4;BR 221 127-4;D;M;21;L;/;/;/;/;/;/;/;/
37840;BR 50.2448;BR 50 2448;S;M;50;L;R;/;/;K;/;/;/;/
37841;BR 051.761-5;BR 051 761-5;S;M;51;L;R;H;/;K;/;/;/;/
37842;BR 50 mit Kabinentender;BR 50;S;M;51;L;R;H;/;K;/;/;/;/
37844;BR 50.1301;BR 50 1301;S;M;50;L;R;/;/;K;/;/;/;/
37845;BR 50 Jahre Geburtstagslok;BR 50 JAHRE;S;M;50;L;R;/;/;K;/;/;/;/
37846;Reihe N 209 d„n. DSB;N 209;S;M;50;L;R;/;/;K;/;/;/;/
37865;RBe 2/4 Roter Pfeil SBB;ROTER PFEIL;S;M;24;L;2;1;D;K;/;/;/;/
37880;BR 044.534-6;BR 044 534-6;S;M;44;L;/;/;/;/;/;/;/;/
37881;BR 44.039;BR 44 039;S;M;44;L;/;/;/;/;/;/;/;/
37882;BR 043.903-4;BR 043 903-4;S;M;44;L;/;/;/;/;/;/;/;/
37884;BR 44.308;BR 44 308;S;M;44;L;R;/;/;K;/;/;/;/
37885;BR 043.131-2;BR 043 131-2;S;M;43;L;R;H;C;K;/;/;/;/
3789;BR 03.10;BR 03 1049;S;M;3;L;/;/;/;/;/;/;/;/
37892;Serie mP 3000 niederl. NS Cargo Motorpost, 3030;MOTORPOST;E;M;30;L;1;D;D;K;/;/;/;/
3790;BR 011.056-9;BR 011 056-9;S;M;1;L;/;/;/;/;/;/;/;/
3791;BR 03.1056 DRG;BR 03 1056;S;M;31;L;/;/;/;/;/;/;/;/
37911;BR 03.1012;BR 03 1012;S;M;3;L;R;/;/;K;/;/;/;/
37912;BR 03.10 schwarz Stromlinien-Dampflok, DRG, Ep.II, Doppelpack;BR 03 1007;S;LP;3;L;R;/;/;K;/;/;/;/
37912b;BR 03.10 rot Stromlinien-Dampflok, DRG, Ep.II, Doppelpack;BR 03 1009;S;LP;3;L;R;/;/;K;/;/;/;/
37913;BR 03.10 MHI;BR 03 10 MHI;S;M;3;L;R;/;/;K;/;/;/;/
37914;BR 03.1004;BR 03 1004;S;M;3;L;A;/;/;K;/;/;/;/
3792;BR 041.334-4;BR 041 334-4;S;M;41;L;/;/;/;/;/;/;/;/
3793;BR 52.3604;BR 52 3604;S;M;52;L;/;/;/;/;/;/;/;/
3795;BR 003.131-0;BR 003 131-0;S;M;3;L;/;/;/;/;/;/;/;/
37951;BR 03.156;BR 03 156;S;M;3;L;/;/;/;/;/;/;/;/
37952;BR 03.287;BR 03 287;S;M;3;L;R;1;/;K;/;/;/;/
37955;BR 03.1014, DB Dampflok-Doppelpackung;BR 03 1014;S;LP;3;L;R;/;/;K;/;/;/;/
37955b;BR 003.248-2, DB Dampflok-Doppelpackung;BR 003 248-2;S;LP;3;L;R;/;/;K;/;/;/;/
3796;BR 96.017;BR 96 017;S;M;9;L;/;/;/;/;/;/;/;/
37961;BR 96 Gt 2 x 4/4 K.Bay.Sts.B., 5751;BR 96 GT 2X4/4;S;M;9;L;/;/;/;K;/;/;/;/
37962;BR 96 Gt 2 x 4/4 K.Bay.Sts.B., 5768;BR 96 GT 2X4/4;S;M;9;L;/;/;/;/;/;/;/;/
37963;BR 96 Gt 2 x 4/4 K.Bay.Sts.B.;BR 96 019;S;M;9;L;/;/;/;K;/;/;/;/
3797;Reihe B VI K.Bay.Sts.B.;BAY. B VI;S;M;70;L;/;/;/;/;/;/;/;/
37970;Reihe H 6 MIKADO NY Central Railroad, 1890;MIKADO NYC;S;M;40;L;R;E;C;K;/;/;/;/
37971;Reihe B VI K.Bay.Sts.B.;BAY. B VI;S;M;70;L;/;/;/;/;/;/;/;/
37972;BR 34.7462;BR 34 7462;S;M;34;L;/;/;/;/;/;/;/;/
37973;Mikado Reihe 2400 der UP;MIKADO UP;S;M;40;L;R;E;C;K;/;/;/;/
3798;BR 96;BR 96 GT 2X4/4;S;M;9;L;/;/;/;/;/;/;/;/
37990;Big Boy BR 4000 U.P., 4013;BIG BOY;S;M8;40;L;R;A;2;K+1;F;G;D;E
39103;BR 01.1057;BR 01 1057;S;M;1;L;R;1;C;E;/;/;/;/
39104;BR 01.10;BR 01 1053;S;M;1;L;R;1;C;E;/;/;/;/
39160;BR 42.9000 Franco-Crosti;BR 42 9000;S;M;42;L;1;2;/;I;/;/;/;/
39161;BR 42.9001 Franco-Crosti;BR 42 9001;S;M;42;L;1;2;/;I;/;/;/;/
39190;E 19.11;E 19 11;E;M;19;L;/;/;/;I;/;/;/;/
39195;E 91.100;E 91 100;E;M;20;L;/;D;/;I;/;/;/;/
39221;E 94.004;E 94 004;E;M;19;L;/;2;C;I;/;/;/;/
39222;BR 1020.01 ™BB;BR 1020 01;E;M;19;L;/;2;C;I;/;/;/;/
39223;BR 194.158-2;BR 194 158-2;E;M;19;L;/;2;C;I;/;/;/;/
39340;BR 152.150-9 DB AG;BR 152 150-9;E;M;52;L;A;O;O;I;/;/;/;/
39350;BR 152.015-4;BR 152 015-4;E;M;52;L;/;A;D;I;/;/;/;/
39351;BR 152.902-3;BR 152 902-3;E;M;52;L;/;A;D;I;/;/;/;/
39352;BR 152.041-0;BR 152 041-0;E;M;52;L;/;A;D;I;/;/;/;/
39353;BR 152.073-3;BR 152 073-3;E;M;52;L;/;A;D;I;/;/;/;/
39355;BR 1016.002-6 Taurus, ™BB;BR 1016 002-6;E;M;16;L;/;A;D;I;/;/;/;/
39356;Reihe 1116.902-6, Dispolok;1116 902-6;E;M;16;L;/;A;D;I;/;/;/;/
39357;Reihe 1116.901-8, Dispolok;1116 901-8;E;M;16;L;/;A;D;I;/;/;/;/
39358;Reihe 1116.005-8 ™BB;1116 005-2;E;M;16;L;/;A;D;I;/;/;/;/
39359;Reihe 1047.005-2 der MAV;1047 005-2;E;M;16;L;/;A;D;I;/;/;/;/
39361;Ae 6/6 SBB, 11463;AE 6/6 11463;E;M;66;L;/;/;/;I;/;/;/;/
39370;BR 101.001-6;BR 101 001-6;E;M;1;L;/;A;F;I;/;/;/;/
39560;Ce 6/8 III SBB, 14310 Krokodil;CE 6/8 14310;E;M;68;L;/;/;1;I;/;/;/;/
39561;Ce 6/8 III SBB, 14316 Krokodil;CE 6/8 14316;E;M;68;L;/;/;1;I;/;/;/;/
39569;Ce 6/8 III SBB, 14310 Krokodil, Winter;CE 6/8 14310;E;M;68;L;/;/;1;I;/;/;/;/
39573;E 03.004;E 03 004;E;M;3;L;1;2;D;I;/;/;/;/
39579;BR 103.137-6;BR 103 137-6;E;M;3;L;1;O;F;I;/;/;/;/
39581;BR 151.017-1;BR 151 017-1;E;M;51;L;/;B;D;I;/;/;/;/
39601;Serie 460 SBB;RE 460;E;M;46;L;/;A;2;I;/;/;/;/
39602;Serie 460 SBB;RE 460;E;M;46;L;/;A;2;I;/;/;/;/
39603;Serie 460 SBB;RE 460;E;M;46;L;/;A;2;I;/;/;/;/
39604;Serie 460 SBB;RE 460;E;M;46;L;/;A;2;I;/;/;/;/
39605;Serie 460 SBB;RE 460;E;M;46;L;/;A;2;I;/;/;/;/
39606;Serie 465 BLS;RE 465 BLS;E;M;46;L;/;A;2;I;/;/;/;/
39607;Serie 460 SBB;RE 460;E;M;46;L;/;A;2;I;/;/;/;/
39608;Serie 460 SBB;RE 460;E;M;46;L;/;A;2;I;/;/;/;/
39609;Serie 465 BLS;RE 465 BLS;E;M;46;L;/;A;2;I;/;/;/;/
39610;BR 460 SBB-CFF-FFS;RE 460;E;M;46;L;/;A;2;I;/;/;/;/
39700;RAm TEE I;RAM TEE I;D;M;70;L;/;D;D;I;/;/;/;/
39710;BR 410 ICE-S;ICE-S;E;M;21;L;/;/;/;I;/;/;/;/
39711;BR 401 ICE 1, Triebk÷pfe 401.0 + 401.5;ICE 401;E;M;11;L;/;B;D;I;/;/;/;/
39821;V 200.150;V 200 150;D;M;22;L;E;2;D;I;/;/;/;/
39830;BR 182.005-9;BR 182 005-9;E;M;16;L;/;A;D;I;/;/;/;/
39831;Rh 1116, ™BB Taurus;RH 1116;E;M;16;L;/;A;D;I;/;/;/;/
39832;Rh 1116, 'BoxXpress';RH 1116;E;M;16;L;/;A;D;I;/;/;/;/
39833;BR 182 'DHL';BR 182 DHL;E;M;16;L;/;A;D;I;/;/;/;/
39970;Turmtriebwagen Bhne;TURMTRIEBW.;N;M;71;/;y;z;O;F;/;/;/;/
42973;InterCity Speisewagen/Restaurant;RESTAURANT;N;M;42;/;/;O;C;/;/;/;/;/
43109;Abteilwagen Ruhr-Schnellverkehr mit Ger„usch;RUHR;N;M;78;L;2;/;C;/;/;/;/;/
43744;BR 403 ICE 3 Zwischenwagen mit Ger„usch;ICE 403 8;N;M;3;/;B;/;D;/;/;/;/;/
43747;BR 406 ICE 3 Zwischenwagen mit Ger„usch;ICE 406;N;M;3;L;/;/;D;B;/;/;/;/
46715;Kranwagen-Set 'Leonhard Weiss', Ep.V;KRAN WEISS;N;LP;77;/;z;y;y;/;/;/;/;/
46716;Feuerwehr Bergekran-Set Ep.V incl. Wagen mit Ger„usch;BERGEKRAN;N;LP;77;/;z;y;y;d;/;/;/;/
46717;Kranwagen-Set DB, Ep.III, mit digitalen Funktionen;Kran Ep. III;N;LP;77;/;z;y;y;/;/;/;/;/
48291;Torpedopfannenwagen, Drehung ber Fahrregler;TORPEDO;N;M;29;L;/;/;/;K;/;/;/;/
49940;Bauwagenset Video Camera;CAMERA;N;M;78;/;F;/;/;/;/;/;/;/
49941;Bauwagenset Video Camera;CAMERA;N;M;78;/;F;/;/;/;/;/;/;/
49950;Kranwagen 'Goliath';GOLIATH;N;M;77;/;/;y;y;z;/;/;/;/
49951;Werkstattwagen der DB SERVICE;SERVICE;N;M;78;/;1;B;2;F;/;/;/;/
49952;Kranzug 'Goliath', DB;GOLIATH;N;M;11;/;/;y;y;z;/;/;/;/
49960;Einheits-Messwagen Bauart 313 DB(40kHz Fkt-Decoder);MESSWAGEN;N;M;75;/;F;F;F;F;/;/;/;/
49961;Oberleitungs-Messwagen PANTOGRAPH;PANTOGRAPH;N;M;78;L;B;O;O;F;/;/;/;/
49963;Schneeschleuder mit Tender;SCHNEE;S;M;54;L;E+R;F;C;1+2;/;/;/;/
4998;Tanz-/Gesellschafts-Wagen(40kHz Fkt-Decoder);TANZWAGEN;N;M;20;/;1;z;B;F;/;/;/;/
49981;Schimmel Piano Ausstellungswagen WGm 038.8;PIANO;N;M;72;/;B;B;F;/;/;/;/;/
4999;Panorama-/Kellner-Wagen(40kHz Fkt-Decoder);PANORAMA;N;M;10;/;x;x;L;1;/;/;/;/
54101;'Edelweiss' Tenderlok Zugpackung;EDELWEISS;S;D;78;/;/;/;/;/;/;/;/;/
54102;E 69.02 Bayer. Zugpackung;E 69 02;E;D;24;/;/;/;/;/;/;/;/;/
54103;Sonderzug 140 J. M„rklin +Glaskasten;GLASKASTEN;S;D;78;/;/;/;/;/;/;/;/;/
54104;Reihe D VI Bay. Lokalbahnzug;BAY. D VI;S;D;78;/;/;/;/;/;/;/;/;/
54105;BR 260 'Postverkehr' Zugpackung;POST 5;D;M;60;L;/;/;/;H;/;/;/;/
54106;E 3/3 8433 'Schweizer Ski-Express' Zugpackung;E 3/3 8433;S;M;78;L;/;/;/;K;/;/;/;/
54107;Reihe PtL 2/2 K.Bay.Sts.B.,4511 'Bayerische Nebenbahn'+Glaskasten;GLASKASTEN;S;D;78;/;/;/;/;/;/;/;/;/
54201;BR 69 LAG;LAG;E;D;24;/;/;/;/;/;/;/;/;/
54202;E 69 DRG, Ep.II;E 69;E;D;24;/;/;/;/;/;/;/;/;/
54212;BR 110.217-7;BR 110 217-7;E;D;24;/;/;/;/;/;/;/;/;/
54213;BR 140.218-9;BR 140 218-9;E;D;24;/;/;/;/;/;/;/;/;/
54214;BR 110.249-0;BR 110 249-0;E;D;24;/;/;/;/;/;/;/;/;/
54291;E 44.098;E 44098;E;M;44;L;/;E;D;H;/;/;/;/
54292;E 44;E 44;E;X3;44;L;b;E;C;H;K;f;b;/
54301;EMD F7 UP General Motors;F7 UP;D;D;72;/;/;/;/;/;/;/;/;/
54307;EMD F7 AT & SF General Motors;F7 ATSF;D;D;72;/;/;/;/;/;/;/;/;/
54309;EMD F7 ACL General Motors;F7 ACL;D;D;72;/;/;/;/;/;/;/;/;/
54321;V 60.107;V 60 107;D;D;72;/;/;/;/;/;/;/;/;/
54322;V 60.706;V 60 106;D;M;60;L;/;E;D;H;/;/;/;/
54323;BR 216 Diesellok;BR 261;D;X3;61;L;/;E;D;H;K;b;b;/
5440;Schw„bische Tenderlok MAX, Startpackung;MAX;S;D;78;/;/;/;/;/;/;/;/;/
54401;JIM Western, amerik. Tenderlok, Startpackung;JIM;S;D;78;/;/;/;/;/;/;/;/;/
54402;JIM Western, amerik. Tenderlok, Startpackung;JIM;S;D;78;/;/;/;/;/;/;/;/;/
54403;'Emma', Tenderlok Startpackung;EMMA;S;D;78;/;/;/;/;/;/;/;/;/
54404;'Emma', Tenderlok Startpackung;EMMA;S;D;78;/;/;/;/;/;/;/;/;/
54405;BR 89 ''Reichsbahn', Tenderlok Startpackung;BR 89 1335;S;D;78;/;/;/;/;/;/;/;/;/
54406;LUZIE Gterzug, Tenderlok, 98 601 Startpackung;LUZIE;S;D;78;/;/;/;/;/;/;/;/;/
54407;BR 98 7505 Gterzug, Tenderlok, Startpackung;BR 98 7505;S;D;78;/;/;/;/;/;/;/;/;/
5441;MAX Schw„bische Tenderlok, Startpackung;MAX;S;D;78;/;/;/;/;/;/;/;/;/
54411;R™SSLE Tenderlok Startpackung;R™SSLE;S;D;78;/;/;/;/;/;/;/;/;/
54412;VRENELI Schweizer Tenderlok, Startpackung;VRENELI;S;D;78;/;/;/;/;/;/;/;/;/
54413;BR 98 7505, Gterzug, Tenderlok, Startpackung;BR 98 7505;S;D;78;/;/;/;/;/;/;/;/;/
54415;'Christmas Starterset', Tenderlok, Startpackung;CHRISTMAS;S;D;78;/;/;/;/;/;/;/;/;/
54416;'Christmas Starterset', Tenderlok, Startpackung;CHRISTMAS;S;D;78;/;/;/;/;/;/;/;/;/
5442;LEO Safari, Tenderlok, Startpackung;LEO;S;D;78;/;/;/;/;/;/;/;/;/
54421;T 2 Nebenbahnlok Starterset MAXI;MAXI;S;D;78;/;/;/;/;/;/;/;/;/
54425;DH 360 Diesellok Startset;DH 360;D;M;36;L;/;/;/;K;/;/;/;/
5450;Schw„bische Tenderlok 'R÷ssle';R™SSLE;S;D;78;/;/;/;/;/;/;/;/;/
54501;Schweizer Tenderlok 's´Vreneli';VRENELI;S;D;78;/;/;/;/;/;/;/;/;/
54502;BR 89.135 Tenderlok;BR 89 135;S;D;78;/;/;/;/;/;/;/;/;/
54503;Zirkus/Circus Tenderlok;CIRCUS;S;D;78;/;/;/;/;/;/;/;/;/
54504;BR 98.311 Glaskasten;BR 98 311;S;D;78;/;/;/;/;/;/;/;/;/
54505;Western-Tenderlok 'Jenny';JENNY;S;D;78;/;/;/;/;/;/;/;/;/
54507;BR 8970-75, 89.7462;BR 89 7462;S;M;78;L;/;/;/;K;/;/;/;/
54510;BADEN Badische Tenderlok;BADEN;S;D;78;/;/;/;/;/;/;/;/;/
54511;'Fulton' Tenderlok;FULTON;S;D;78;/;/;/;/;/;/;/;/;/
5452;Bayer.Schlepptenderlok 'Aloisius';ALOISIUS;S;D;78;/;/;/;/;/;/;/;/;/
54522;Preu˜.Schlepptenderlok 'Alter Fritz';ALTER FRITZ;S;D;78;/;/;/;/;/;/;/;/;/
54523;Bayer.Schlepptenderlok 'Ludwig';LUDWIG;S;D;78;/;/;/;/;/;/;/;/;/
54524;Bayer.Schlepptenderlok 'Sendling';SENDLING;S;M;72;L;/;/;/;/;/;/;/;/
54530;WesternLok UnionPacific'Washington';WASHINGTON;S;D;78;/;/;/;/;/;/;/;/;/
5454;WesternLok CentralPacific'General Grant';GENERAL GRANT;S;D;78;/;/;/;/;/;/;/;/;/
54541;Schlepptenderlok 'Union Pacific' ;UNION PACIFIC;S;D;78;/;/;/;/;/;/;/;/;/
54549;WesternLok 'Black Beauty';BLACK BEAUTY;S;D;78;/;/;/;/;/;/;/;/;/
54561;BR 18.478;BR 18 478;S;M;18;L;R;/;C;K;/;/;/;/
54562;S 3/6 K.Bay.Sts.B., 3673;S 3/6 3673;S;M;18;L;R;/;C;K;/;/;/;/
54563;S 3/6 K.Bay.Sts.B., 3673;S 3/6 3673;S;M;36;L;R;/;C;K;/;/;/;/
54564;S 3/6 K.Bay.Sts.B.;S 3/6;S;X3;36;L;R;C;E;K;/;b;B;/
