
16:10:30.197982 can0  RX - -  1C00007E   [0] 
16:10:55.849712 can0  RX - E  18002505   [2]  05 01

16:10:55.857527 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00

16:10:55.868482 can0  TX - -  18002504   [4]  05 01 02 08
16:10:55.874215 can0  RX - -  18002505   [2]  05 00
16:10:55.879384 can0  TX - -  18002504   [3]  05 00 00
16:10:55.881710 can0  RX B E  18002505   [2]  06 01
16:10:55.890491 can0  TX - -  18002504   [4]  06 01 02 01
16:10:55.894224 can0  RX - E  18002505   [2]  06 00
16:10:55.901611 can0  TX - -  18002504   [3]  06 00 00
16:10:55.905711 can0  RX - E  18002505   [2]  07 01
16:10:55.912686 can0  TX - -  18002504   [4]  07 01 02 01
16:10:55.918235 can0  RX B E  18002505   [2]  07 00
16:10:55.933838 can0  TX - -  18002504   [3]  07 00 00
16:10:55.937715 can0  RX - E  18002505   [2]  08 01
16:10:55.943934 can0  TX - -  18002504   [2]  08 01
16:10:55.945862 can0  RX B E  18002505   [4]  01 02 00 00
16:10:55.953977 can0  TX - -  18002504   [5]  01 02 00 00 FF
16:10:55.957864 can0  RX - -  18002505   [4]  01 02 01 00
16:10:55.964001 can0  TX - -  18002504   [5]  01 02 01 00 0F
16:10:55.965868 can0  RX B E  18002505   [4]  01 02 02 00
16:10:55.974070 can0  TX - -  18002504   [5]  01 02 02 00 0F
16:10:55.977867 can0  RX - -  18002485   [4]  40 04 00 00
16:10:55.983965 can0  TX - -  18002484   [6]  40 04 00 00 01 00
16:10:55.985711 can0  RX B E  18002405   [2]  03 00
16:10:55.993968 can0  TX - -  18002404   [6]  03 00 00 00 00 01
16:10:56.001835 can0  RX - E  18002485   [4]  02 00 00 00
16:10:56.017389 can0  TX - -  18002484   [8]  02 00 00 00 33 33 35 20
16:10:56.021876 can0  RX - -  18002485   [4]  02 00 00 04
16:10:56.033740 can0  TX - -  18002484   [8]  02 00 00 04 31 30 35 2D
16:10:56.037879 can0  RX - E  18002485   [4]  02 00 00 08
